index,pollen_score,tagid,starttime,endtime,event
433536,0.0380543842851582,1621,2017-06-23 08:19:01.850,2017-06-23 08:19:07.400,leaving
433732,0.0045202692667777,1621,2017-06-23 08:19:32.450,2017-06-23 08:19:33.650,entering
445251,4.316876811572001e-08,1621,2017-06-23 09:05:19.800,2017-06-23 09:05:19.850,leaving
445253,7.695738952024594e-06,1621,2017-06-23 09:05:20.000,2017-06-23 09:05:20.650,leaving
456895,0.0404205357372191,1621,2017-06-23 09:34:10.600,2017-06-23 09:34:10.750,entering
456897,0.030988838750875,1621,2017-06-23 09:34:10.800,2017-06-23 09:34:12.400,entering
459110,0.0737298395542893,1621,2017-06-23 09:37:41.800,2017-06-23 09:37:41.950,leaving
473968,0.0007465794983547,1621,2017-06-23 10:08:15.850,2017-06-23 10:08:18.050,entering
491299,0.0002913270954191,1621,2017-06-23 11:06:09.300,2017-06-23 11:06:10.150,leaving
491313,1.3381573247741354e-07,1621,2017-06-23 11:06:11.050,2017-06-23 11:06:12.500,leaving
491325,0.0001436315383553,1621,2017-06-23 11:06:12.800,2017-06-23 11:06:21.650,NV
491373,1.296332751114496e-09,1621,2017-06-23 11:06:21.900,2017-06-23 11:06:22.700,NV
491383,1.8940942416601618e-07,1621,2017-06-23 11:06:23.250,2017-06-23 11:06:25.450,NV
491456,6.818369485266243e-08,1621,2017-06-23 11:06:35.000,2017-06-23 11:06:35.900,entering
491465,0.042836484844948,1621,2017-06-23 11:06:36.400,2017-06-23 11:06:36.700,NV
496510,0.0332695859211996,1621,2017-06-23 11:27:19.200,2017-06-23 11:27:24.150,leaving
503558,0.053450474457451,1621,2017-06-23 11:55:10.800,2017-06-23 11:55:11.800,entering
602217,0.0001786593507443,1621,2017-06-23 16:33:41.750,2017-06-23 16:33:42.750,leaving
602234,1.1713063570971405e-07,1621,2017-06-23 16:33:42.850,2017-06-23 16:33:43.100,leaving
617397,0.0310608613053773,1621,2017-06-23 16:47:43.500,2017-06-23 16:47:43.850,entering
617400,0.0012133360309249,1621,2017-06-23 16:47:43.900,2017-06-23 16:47:44.100,entering
650556,1.6120619228229292e-05,1621,2017-06-23 17:56:15.700,2017-06-23 17:56:16.750,leaving
668388,0.0892027405591631,1621,2017-06-24 08:49:27.200,2017-06-24 08:49:27.500,NV
668394,0.0994539664903887,1621,2017-06-24 08:49:27.600,2017-06-24 08:49:28.300,entering
669713,0.260444956831634,1621,2017-06-24 08:52:43.600,2017-06-24 08:52:43.750,entering
669715,0.1970090074826052,1621,2017-06-24 08:52:43.800,2017-06-24 08:52:43.950,entering
669716,0.0109813178939282,1621,2017-06-24 08:52:44.100,2017-06-24 08:52:44.300,entering
701929,0.0363130411350451,1621,2017-06-24 09:56:43.250,2017-06-24 09:56:44.200,NV
704082,0.0243458405514446,1621,2017-06-24 10:01:36.700,2017-06-24 10:01:36.850,leaving
704084,7.146000920628855e-11,1621,2017-06-24 10:01:36.900,2017-06-24 10:01:37.000,leaving
716200,0.0012529408265978,1621,2017-06-24 10:28:06.700,2017-06-24 10:28:07.450,entering
716212,0.1210278339752209,1621,2017-06-24 10:28:07.500,2017-06-24 10:28:07.900,entering
730387,0.0830079177719841,1621,2017-06-24 11:23:48.800,2017-06-24 11:23:49.550,entering
738905,0.0675131458160649,1621,2017-06-24 11:54:31.200,2017-06-24 11:54:31.350,entering
738907,0.0009598549166243,1621,2017-06-24 11:54:31.400,2017-06-24 11:54:31.900,entering
756860,0.0705732766754637,1621,2017-06-24 13:12:26.800,2017-06-24 13:12:28.500,entering
756866,0.0131566462417443,1621,2017-06-24 13:12:28.550,2017-06-24 13:12:28.650,entering
771773,0.109954637146271,1621,2017-06-24 14:16:45.000,2017-06-24 14:16:45.300,NV
771776,0.0011766397868648,1621,2017-06-24 14:16:45.350,2017-06-24 14:16:46.050,entering
787866,1.0567643628611734e-05,1621,2017-06-24 15:02:10.050,2017-06-24 15:02:10.200,entering
804338,0.002894540737206,1621,2017-06-24 15:45:42.500,2017-06-24 15:45:43.600,entering
880400,0.0007632922928994,1621,2017-06-24 17:09:18.700,2017-06-24 17:09:20.600,leaving
880414,1.4896346837646044e-07,1621,2017-06-24 17:09:20.850,2017-06-24 17:09:21.650,leaving
910498,0.0070888749323785,1621,2017-06-25 08:00:46.950,2017-06-25 08:00:47.000,entering
910499,0.1922511165710947,1621,2017-06-25 08:00:47.050,2017-06-25 08:00:47.750,entering
922645,0.0222750161179387,1621,2017-06-25 08:26:28.900,2017-06-25 08:26:29.200,leaving
922649,4.323579721095723e-09,1621,2017-06-25 08:26:29.300,2017-06-25 08:26:29.400,leaving
922651,6.49499032761014e-05,1621,2017-06-25 08:26:29.600,2017-06-25 08:26:29.800,leaving
953467,0.0488098615026331,1621,2017-06-25 09:22:36.150,2017-06-25 09:22:36.300,entering
953470,0.0941106689003419,1621,2017-06-25 09:22:36.350,2017-06-25 09:22:36.500,entering
953473,0.0764756354407743,1621,2017-06-25 09:22:36.550,2017-06-25 09:22:36.950,entering
982128,1.4670030975580935e-06,1621,2017-06-25 10:05:03.100,2017-06-25 10:05:04.000,entering
982139,3.133801441799737e-08,1621,2017-06-25 10:05:04.050,2017-06-25 10:05:04.600,NV
982170,0.0001837189712326,1621,2017-06-25 10:05:05.500,2017-06-25 10:05:06.800,NV
982264,1.297341488271618e-05,1621,2017-06-25 10:05:10.650,2017-06-25 10:05:12.300,NV
982335,0.0004001783284506,1621,2017-06-25 10:05:14.850,2017-06-25 10:05:15.850,NV
982370,6.102841765133883e-06,1621,2017-06-25 10:05:16.100,2017-06-25 10:05:16.800,leaving
982410,0.0387508695539606,1621,2017-06-25 10:05:17.250,2017-06-25 10:05:18.000,leaving
982460,4.327051269933088e-07,1621,2017-06-25 10:05:18.450,2017-06-25 10:05:18.850,leaving
982549,2.4652528907154192e-08,1621,2017-06-25 10:05:20.400,2017-06-25 10:05:20.450,leaving
982572,0.0001642839552389,1621,2017-06-25 10:05:20.850,2017-06-25 10:05:21.750,leaving
983167,1.650868395326625e-07,1621,2017-06-25 10:05:34.450,2017-06-25 10:05:35.550,leaving
983241,0.0002023405816554,1621,2017-06-25 10:05:37.150,2017-06-25 10:05:37.300,leaving
983269,3.418878423269319e-05,1621,2017-06-25 10:05:38.050,2017-06-25 10:05:39.350,leaving
983318,8.230789071728288e-09,1621,2017-06-25 10:05:40.100,2017-06-25 10:05:40.400,leaving
983331,3.006164962169951e-06,1621,2017-06-25 10:05:40.700,2017-06-25 10:05:41.400,leaving
983370,5.584664902746311e-06,1621,2017-06-25 10:05:42.250,2017-06-25 10:05:44.000,leaving
984054,2.3230188044921974e-06,1621,2017-06-25 10:06:08.400,2017-06-25 10:06:08.700,leaving
984084,8.3480461334953e-05,1621,2017-06-25 10:06:09.400,2017-06-25 10:06:09.700,leaving
984174,0.0003082115392187,1621,2017-06-25 10:06:11.600,2017-06-25 10:06:15.350,leaving
984254,6.667076529465642e-05,1621,2017-06-25 10:06:14.450,2017-06-25 10:06:16.650,leaving
984307,0.0004742915203305,1621,2017-06-25 10:06:16.900,2017-06-25 10:06:17.200,NV
984324,0.0002953330826165,1621,2017-06-25 10:06:17.500,2017-06-25 10:06:21.600,NV
984529,0.0033452429717572,1621,2017-06-25 10:06:24.650,2017-06-25 10:06:26.200,entering
984619,0.0009194442479036,1621,2017-06-25 10:06:27.050,2017-06-25 10:06:28.050,NV
988552,2.5842646915213443e-05,1621,2017-06-25 10:08:15.100,2017-06-25 10:08:18.300,NV
1001878,4.328726117819315e-05,1621,2017-06-25 10:29:57.750,2017-06-25 10:29:58.000,entering
1001891,0.0001351886149318,1621,2017-06-25 10:29:58.350,2017-06-25 10:29:59.550,entering
1001917,0.1416730042081817,1621,2017-06-25 10:29:59.650,2017-06-25 10:30:00.000,entering
1051828,9.006653444087812e-05,1621,2017-06-25 11:55:50.850,2017-06-25 11:55:52.800,leaving
1063435,0.0350115636013181,1621,2017-06-25 12:34:12.350,2017-06-25 12:34:13.450,entering
1063440,0.2790617034899329,1621,2017-06-25 12:34:13.500,2017-06-25 12:34:13.800,NV
1065393,0.0161073900232389,1621,2017-06-25 12:43:10.100,2017-06-25 12:43:11.700,NV
1065401,0.0088017221257917,1621,2017-06-25 12:43:11.950,2017-06-25 12:43:15.300,leaving
1079162,0.0691022229686924,1621,2017-06-25 13:30:44.500,2017-06-25 13:30:45.800,entering
1079175,0.130983662820654,1621,2017-06-25 13:30:45.850,2017-06-25 13:30:46.000,entering
1088078,0.0001463428052375,1621,2017-06-25 14:06:36.500,2017-06-25 14:06:36.550,leaving
1088079,0.0007180586690083,1621,2017-06-25 14:06:36.800,2017-06-25 14:06:36.850,leaving
1107956,0.0621238367254614,1621,2017-06-25 15:15:11.250,2017-06-25 15:15:12.550,entering
1107966,0.0370385337461301,1621,2017-06-25 15:15:12.600,2017-06-25 15:15:13.150,entering
1132179,0.0374146004005261,1621,2017-06-25 16:15:39.250,2017-06-25 16:15:39.800,NV
1132181,0.0049864317667093,1621,2017-06-25 16:15:39.850,2017-06-25 16:15:40.200,leaving
1132184,0.117931902822063,1621,2017-06-25 16:15:40.250,2017-06-25 16:15:40.400,leaving
1132185,1.7371363014717645e-07,1621,2017-06-25 16:15:40.450,2017-06-25 16:15:40.500,leaving
1175966,0.0904136704341923,1621,2017-06-25 17:59:38.400,2017-06-25 17:59:38.950,NV
1211888,0.0045694227241327,1621,2017-06-26 10:37:27.100,2017-06-26 10:37:28.150,leaving
1241322,0.2114362219290342,1621,2017-06-26 12:34:20.650,2017-06-26 12:34:20.800,entering
1241323,0.0002188845229085,1621,2017-06-26 12:34:20.850,2017-06-26 12:34:21.000,entering
1242520,9.7130267761167e-05,1621,2017-06-26 12:39:08.400,2017-06-26 12:39:09.000,leaving
1242521,1.947323145827795e-05,1621,2017-06-26 12:39:09.050,2017-06-26 12:39:09.250,leaving
1267154,0.255035255337134,1621,2017-06-26 13:48:20.900,2017-06-26 13:48:21.050,entering
1267155,1.96218825458702e-05,1621,2017-06-26 13:48:21.100,2017-06-26 13:48:21.250,entering
1269275,0.0009080318850465,1621,2017-06-26 13:53:58.200,2017-06-26 13:53:58.250,leaving
1269277,0.1934995452562967,1621,2017-06-26 13:53:58.350,2017-06-26 13:53:58.450,leaving
958,0.0002037973572203,516,2017-06-21 08:02:20.050,2017-06-21 08:02:20.600,NV
960,4.993902706473818e-06,516,2017-06-21 08:02:20.650,2017-06-21 08:02:20.800,NV
1563,1.9937450531887224e-05,516,2017-06-21 08:03:31.700,2017-06-21 08:03:31.800,NV
1564,5.019166679499016e-06,516,2017-06-21 08:03:31.850,2017-06-21 08:03:33.100,entering
207897,0.2723433350523312,516,2017-06-21 17:54:29.900,2017-06-21 17:54:30.000,entering
207898,0.0150714691731081,516,2017-06-21 17:54:30.050,2017-06-21 17:54:30.200,entering
208024,0.0080008983794831,516,2017-06-21 17:54:52.250,2017-06-21 17:54:52.500,entering
208027,0.2918428773189754,516,2017-06-21 17:54:52.700,2017-06-21 17:54:53.200,entering
274898,0.000616246714485,516,2017-06-22 10:51:19.350,2017-06-22 10:51:21.900,leaving
274905,2.787900442845137e-05,516,2017-06-22 10:51:22.200,2017-06-22 10:51:27.800,leaving
274925,3.048532499063405e-05,516,2017-06-22 10:51:28.250,2017-06-22 10:51:30.450,leaving
277216,0.0035270604896023,516,2017-06-22 11:01:34.100,2017-06-22 11:01:35.150,leaving
277226,4.483945181862013e-07,516,2017-06-22 11:01:35.300,2017-06-22 11:01:36.200,leaving
318668,3.575965027231652e-05,516,2017-06-22 14:00:11.200,2017-06-22 14:00:13.450,NV
348315,0.0270173486378303,516,2017-06-22 15:22:16.300,2017-06-22 15:22:18.100,leaving
348332,0.02338375569552,516,2017-06-22 15:22:18.150,2017-06-22 15:22:19.850,leaving
348346,3.236851663738586e-06,516,2017-06-22 15:22:19.950,2017-06-22 15:22:20.050,leaving
349079,0.3650243966840207,516,2017-06-22 15:23:39.150,2017-06-22 15:23:39.300,leaving
349082,0.057145836136442,516,2017-06-22 15:23:39.350,2017-06-22 15:23:39.500,entering
495719,0.0711278787005659,516,2017-06-23 11:24:30.600,2017-06-23 11:24:31.300,leaving
495722,7.035200542304665e-05,516,2017-06-23 11:24:31.400,2017-06-23 11:24:31.450,leaving
495728,1.5668981818689865e-07,516,2017-06-23 11:24:32.150,2017-06-23 11:24:32.350,leaving
495732,0.0035345347311963,516,2017-06-23 11:24:32.600,2017-06-23 11:24:32.850,NV
496283,9.622470287240505e-08,516,2017-06-23 11:26:30.500,2017-06-23 11:26:30.550,entering
496284,0.0869603421574173,516,2017-06-23 11:26:30.600,2017-06-23 11:26:31.150,entering
617924,9.706398096342504e-05,516,2017-06-23 16:49:03.500,2017-06-23 16:49:04.250,leaving
617932,0.1594273753162269,516,2017-06-23 16:49:04.300,2017-06-23 16:49:04.450,leaving
617937,0.1427507698535919,516,2017-06-23 16:49:04.500,2017-06-23 16:49:04.550,leaving
618194,0.0277035211587617,516,2017-06-23 16:49:48.600,2017-06-23 16:49:49.250,leaving
618198,0.0877540044475022,516,2017-06-23 16:49:49.300,2017-06-23 16:49:49.650,entering
618250,0.0003443385646118,516,2017-06-23 16:49:56.100,2017-06-23 16:49:58.050,entering
618270,0.0217854781794776,516,2017-06-23 16:49:58.100,2017-06-23 16:49:59.450,NV
618286,8.341913545786579e-06,516,2017-06-23 16:49:59.500,2017-06-23 16:50:00.250,entering
673005,0.0402696827766215,516,2017-06-24 08:59:26.050,2017-06-24 08:59:28.550,entering
673027,5.882912361383003e-05,516,2017-06-24 08:59:28.800,2017-06-24 08:59:29.200,NV
774446,0.1294693102026241,516,2017-06-24 14:23:19.750,2017-06-24 14:23:20.100,entering
774449,0.0010814175837564,516,2017-06-24 14:23:20.150,2017-06-24 14:23:20.700,entering
806279,1.2582504823610563e-06,516,2017-06-24 15:49:35.050,2017-06-24 15:49:35.200,leaving
806287,0.0004381470131826,516,2017-06-24 15:49:35.700,2017-06-24 15:49:37.000,leaving
806300,0.0001363242369052,516,2017-06-24 15:49:37.900,2017-06-24 15:49:38.200,leaving
